,loc_name,loc_rating,total_rating,latitude,longitude,query
7271,IRIS Salon & Spa,4.4,220.0,31.5249055,74.3511772,'spa'
7272,Malik Brothers,5.0,1.0,31.5276804,74.3169663,'courthouse'
7273,Popular Car Rental Lhr,5.0,3.0,31.4802615,74.3240202,'car rental'
7274,Al Wahab mosque,,,31.6230598,74.221835,'mosque'
7275,Ch-Aman,,,31.5502607,74.2804158,'city hall'
7276,Dr. Rameel ur Rehman Cheema,5.0,8.0,31.4682238,74.2580942,'physiotherapist'
7277,Synagogue of Yousef Abad,4.3,37.0,35.7274928,51.4091015,'synagogue'
7278,Punjab Furniture,4.5,12.0,31.4169678,74.3591267,'furniture store'
7279,Royal Hair Dressers & Beauty Parlour,4.4,53.0,31.4665933,74.2741287,'beauty salon'
7280,Best Dentist Dental Clinic,5.0,1.0,31.372873,74.1854152,'dentist'
7281,Mosque,4.7,10.0,31.5046661,74.3076349,'mosque'
7282,Haji Store,4.5,30.0,31.3763442,74.3611345,'supermarket'
7283,IDEAL FURNISHERS,,,31.2713504,74.4122929,'home goods store'
7284,Rent a Car Service DHA Lahore | Rafay Rent a Car,5.0,8.0,31.4874234,74.3816624,'car rental'
7285,Family Departmental store,4.3,83.0,31.4150383,74.2511764,'department store'
7286,City Cinema,,,31.5854147,74.3145941,'movie theater'
7287,Auto World,5.0,1.0,31.5437355,74.2978138,'car dealer'
7288,CB Public High School and College,4.0,8.0,31.5436439,74.3767777,'secondary school'
7289,Wadi Sahib uz Zaman Graveyard,5.0,1.0,31.6018002,74.166375,'cemetery'
7290,Wall Real Estate - Park View City Lahore Office,5.0,5.0,31.4560489,74.2020977,'real estate agency'
7291,Aslam Karyana Store,4.7,6.0,31.2476792,74.2179734,'store'
7292,Rana safari Park Zoo,3.7,9.0,31.2289027,73.8566018,'zoo'
7293,Mian's House,,,31.4893918,74.2664267,'storage'
7294,Al Maktab School,5.0,1.0,31.469034,74.3277022,'school'
7295,Govt.Elementry School Bhathal,,,31.6367459,74.0103564,'primary school'
7296,buicell,5.0,1.0,31.3276162,74.2476637,'electronics store'
7297,Idrees Medical and General Store,5.0,3.0,31.6214457,74.269065,'store'
7298,ADIL SUPER STORE,4.7,3.0,31.3323383,74.084689,'supermarket'
7299,Expert Autoz,,,31.4353206,74.3545776,'car repair'
7300,Global Study Solution | Study Abroad,5.0,9.0,31.5209677,74.3468149,'lawyer'
7301,FIA CYBER CRIME OFFICE PUNJAB ZONE LAHORE,3.6,39.0,31.527908,74.34633,'local government office'
7302,Allied Bank,,,31.3893659,74.1768313,'bank'
7303,Bholla Pan Shop,4.5,21.0,31.5736868,74.4268905,'bar'
7304,Fatima Park,5.0,1.0,31.5754617,74.3007718,'park'
7305,Ram square,5.0,1.0,31.5779042,74.3281019,'hindu temple'
7306,Ramzan gernal store,,,31.4789207,74.3065915,'store'
7307,Babar Rent A car in lahore /johar town/green town/township,5.0,6.0,31.441954,74.3051164,'car rental'
7308,Beauty Zone ( Beauty Salon / Beauty Parlor ),4.5,85.0,31.6037038,74.3362861,'beauty salon'
7309,Cemetery,,,31.5463154,74.3622896,'cemetery'
7310,Noumania Mosque,5.0,2.0,31.4701653,74.3261204,'mosque'
7311,Physio Care & Health Clinic,,,31.5189273,74.3237131,'physiotherapist'
7312,WM/TV/MW Inventory,,,31.3032779,74.2277359,'storage'
7313,Community Centre,4.2,33.0,31.48233,74.29196,'city hall'
7314,Hira school,,,31.4640472,74.1006451,'school'
7315,Chaudhary Real Estate Agency,4.8,6.0,31.4198831,74.2614911,'real estate agency'
7316,Al-Fazal Restaurant,3.2,47.0,31.3724604,74.3658063,'restaurant'
7317,Brethren church of Pakistan Sundar shareef,5.0,2.0,31.3570625,74.1220625,'church'
7318,Bravo Car Wash (Detailing and Ceramic Coating),5.0,3.0,31.5505376,74.2815694,'car wash'
7319,Emporium Massage Spa,4.4,41.0,31.4673596,74.2659832,'spa'
7320,Mirch Masala Bar BQ Restaurant,4.3,295.0,31.5475598,74.2752796,'restaurant'
7321,جامع مسجد مدنی دلوخورد,4.8,4.0,31.4079707,74.3649074,'mosque'
7322,Gerry's Visa,3.7,1022.0,31.5540049,74.3199007,'embassy'
7323,Yahya Gym,4.3,137.0,31.5803527,74.3798904,'gym'
7324,ECW workshop,,,31.3607378,74.3656139,'storage'
7325,Gravity Premium Men Salon,4.7,22.0,31.442196,74.3985083,'hair care'
7326,Dawood Family Takaful Limited,5.0,3.0,31.4963516,74.3752829,'insurance agency'
7327,Amjad Chaudhry Library,3.6,5.0,31.5031255,74.4758714,'library'
7328,Park,4.5,4.0,31.4316321,74.3471807,'park'
7329,Tabind Electronics,,,31.2551724,74.4197117,'electronics store'
7330,Amritsar Fire Station,5.0,2.0,31.654733,74.8692513,'fire station'
7331,Uncle g snooker club,,,31.50488,74.2811747,'night club'
7332,Hassan Jewellers,5.0,1.0,31.5624515,74.2861808,'jewelry store'
7333,Flowers Avenue,4.0,23.0,31.4624288,74.4137037,'florist'
7334,Venus Motors,4.8,11.0,31.5434254,74.3209354,'car dealer'
7335,MEPLANET+ Transforming Problems into Solutions,5.0,33.0,31.5325837,74.3363127,'electrician'
7336,Al Madina Hardware and Sanitory Store,,,31.3202142,74.3902396,'hardware store'
7337,Jamia Masjid Islamia,5.0,1.0,31.41705,74.3756633,'mosque'
7338,Ali Car Parking,,,31.3872625,74.2382492,'parking'
7339,Govt. Girls Higher Secondary School,4.3,84.0,31.511605,74.2845031,'secondary school'
7340,PPP,,,31.3228122,74.1489723,'car repair'
7341,Rafiq Group Of Industries,4.5,25.0,31.2920613,74.1934774,'storage'
7342,National Bank Mustafaabad,4.0,6.0,31.2510423,74.4204895,'bank'
7343,Twycross Zoo,4.2,13972.0,52.6524914,-1.5300976,'zoo'
7344,Govt. Primary School Thatha ilyas,5.0,1.0,31.4858731,74.0146564,'primary school'
7345,Sabir Beauty Parlour,4.5,25.0,31.5239194,74.3455588,'beauty salon'
7346,SHOE WALKER,4.6,22.0,31.5342598,74.3459435,'shoe store'
7347,Mosqueمسجد,,,31.4154936,74.2210154,'mosque'
7348,Quality Super Store,4.0,283.0,31.4231,74.2823591,'liquor store'
7349,the joint family,5.0,3.0,31.4554909,74.3704703,'night club'
7350,CHAUDHARY HOUSE,5.0,1.0,31.5087495,74.433503,'storage'
7351,Ilyas Departmental Store,,,31.6094183,74.2533393,'department store'
7352,دارہ ماسٹر غلام عباس موہرا,5.0,2.0,32.59614,73.3331967,'campground'
7353,Ghani Pharmacy,3.5,4.0,31.3540854,74.2442717,'pharmacy'
7354,Prestige Cars Inc,4.0,6.0,31.4596587,74.326346,'car dealer'
7355,St John's Park Fortress,4.7,13.0,31.5305382,74.3639382,'park'
7356,Tahir Brothers Boutique and Matching Center,,,31.24579,74.2162688,'clothing store'
7357,Bahria orchard Arena,4.9,14.0,31.322175,74.2200661,'movie theater'
7358,Police Station Shahdara Town,4.2,5.0,31.6356216,74.286947,'police'
7359,Aleem Dar Cricket Academy,4.3,1275.0,31.4631879,74.2899322,'stadium'
7360,Park B Block,4.1,95.0,31.4090657,74.2622711,'park'
7361,Ittefaq Hospital (Trust),5.0,1.0,31.475634,74.337729,'hospital'
7362,shoe saler,,,31.3886668,74.1844769,'shoe store'
7363,Al Amir restaurant,4.0,1.0,31.3695563,74.4707095,'restaurant'
7364,Zaamin Jewellers,5.0,1.0,31.510456,74.3462358,'jewelry store'
7365,Stags School Heir Campus,5.0,1.0,31.4115749,74.487622,'school'
7366,Govt Primary School Jathol,5.0,2.0,31.4371028,74.3992612,'primary school'
7367,Govt Girls Primary School,5.0,1.0,31.2465588,73.9875423,'primary school'
7368,EastLaw (Pvt.) Ltd.,4.8,12.0,31.5624314,74.3114267,'library'
7369,Imran Shoes Collection,5.0,3.0,31.4292916,74.1763855,'shoe store'
7370,PKF F.R.A.N.T.S. Chartered Accountants,4.3,27.0,31.5248308,74.3242157,'accounting'
7371,Bahria International Hospital,3.5,302.0,31.387795,74.1877115,'hospital'
7372,Shahzad Book Dipot,5.0,1.0,31.4724086,74.103587,'book store'
7373,Parking,4.0,3.0,31.4545981,74.3514615,'parking'
7374,Mehar Brothers General Store,5.0,1.0,31.4206348,74.3660504,'store'
7375,KP Aviation Travels (Rajab Ali) The Best Travel Agent,5.0,85.0,31.5316996,74.3527907,'travel agency'
7376,Allied Bank,4.8,6.0,31.3745766,74.1645152,'bank'
7377,Graveyard,4.2,12.0,31.3849375,74.1865625,'cemetery'
7378,Chheena Law Associate,,,31.5627298,74.346516,'lawyer'
7379,Aziz Memorial Science High School,4.6,24.0,31.4407167,74.3610715,'secondary school'
7380,Laps School,5.0,1.0,31.4208905,74.2860834,'school'
7381,Irshad Car Workshop,4.2,12.0,31.5537701,74.2767131,'car repair'
7382,Multiways Freight Services,,,31.5112935,74.2841723,'moving company'
7383,Ameer Alam Super Store,4.3,170.0,31.430473,74.2861197,'supermarket'
7384,TAHIR ELECTRONIC,5.0,6.0,31.6168336,74.2809311,'electronics store'
7385,Funeral Place,,,31.9227006,74.0937039,'funeral home'
7386,Y & S Super Store,4.1,14.0,31.422561,74.3536225,'store'
7387,PC Dry Clean and laundry franchise Shop,4.5,12.0,31.4615803,74.4139929,'laundry'
7388,National Taxi Stand,,,31.3165436,75.5873161,'taxi stand'
7389,Khan Park,4.1,118.0,31.4292515,74.2851745,'park'
7390,Chuadhary Auto Motorbike,4.3,15.0,31.5371774,74.287863,'painter'
7391,Zaad e Rah Travel and Tours (Pvt) Ltd,4.2,10.0,31.4703362,74.3013267,'travel agency'
7392,Govt Primary School (Boys),,,31.4394088,74.4506655,'primary school'
7393,Modern World Accountancy (Pvt.) Ltd,5.0,1.0,31.4702466,74.260052,'accounting'
7394,Workout Fitness,4.4,197.0,31.4094223,74.2595335,'gym'
7395,New Alhewan medicose,,,31.4798699,74.242028,'storage'
7396,میاں علی وئیر ہاوس,5.0,1.0,31.6112259,74.2778978,'storage'
7397,Name_necklace_pk,5.0,28.0,31.4226598,74.1762602,'jewelry store'
7398,Art_by_abdulrehman,5.0,7.0,31.5644613,74.3220029,'movie rental'
7399,Kamran's Baradari,4.2,559.0,31.6067636,74.2936703,'tourist attraction'
7400,Science School,5.0,1.0,31.4330236,74.3664921,'school'
7401,S.a.Mobile,5.0,1.0,31.4678465,74.1026869,'shopping mall'
7402,Asasay Estate,5.0,21.0,31.4888198,74.3266705,'real estate agency'
7403,The Value School Lahore,4.3,7.0,31.5166509,74.2838729,'school'
7404,Karim Baksh Pharmacy and Mart,5.0,1.0,31.4033463,74.3611566,'pharmacy'
7405,Vehicle documents return,,,31.3739054,74.2323485,'local government office'
7406,Lahore Museum,4.5,7142.0,31.568387,74.3080969,'tourist attraction'
7407,Office of Administrator General Bus Stand Badami Bagh Lahore,,,31.5903315,74.3202114,'local government office'
7408,The Knowledge School,4.6,5.0,31.3795218,74.3593286,'school'
7409,Asghar General Store,,,31.2844747,74.2860072,'store'
7410,Car Japan,3.8,4.0,31.2713504,74.4122929,'car dealer'
7411,Dollar Store,,,31.4673596,74.2659832,'home goods store'
7412,Al Raheem store,,,31.4327428,74.2103205,'supermarket'
7413,Jurists Inn,5.0,5.0,31.5103088,74.4310507,'lawyer'
7414,M.A. Home Services,,,31.4833597,74.3968658,'hospital'
7415,Chaudhry Burds center,4.0,1.0,31.5071287,74.2590489,'pet store'
7416,الریاض ہومیو پیتھک کلینک رائے ونڈ,5.0,2.0,31.2570006,74.2204432,'doctor'
7417,Sandhu mobile and Cold corner,5.0,2.0,31.3361133,74.24194,'bakery'
7418,Mobile and accessories,,,31.5785005,74.3575832,'rv park'
7419,Abdullah Books and Stationery Store,,,31.262408,74.218582,'book store'
7420,Skyways Bus Stand,3.9,16.0,31.5372957,74.2730314,'taxi stand'
7421,State Life Insurance,5.0,4.0,31.6480734,74.2805127,'insurance agency'
7422,Shezan Bakers & Confectioners,3.9,278.0,31.4741272,74.2800175,'bakery'
7423,Shifa Physio and Rehab Clinic,5.0,1.0,31.4337107,74.3465082,'physiotherapist'
7424,Iqra model school Asal Suleiman khana nou Lahore Punjab Pakistan,,,31.3202509,74.3535711,'school'
7425,Jubilee Life Insurance,3.7,159.0,31.5384143,74.3289141,'insurance agency'
7426,Khalid Paint Hardware & Sanitary Store,4.0,33.0,31.4485717,74.2068178,'hardware store'
7427,Grab Your Meal Gulberg,4.1,198.0,31.5222983,74.3502531,'meal takeaway'
7428,Jamia Shafi-ul-Quran Masjid,4.3,3.0,31.2428171,74.3758348,'mosque'
7429,JIN OH SHAMO'S,5.0,1.0,31.5585053,74.2944958,'pet store'
7430,The Citizen Foundation - TCF School,4.0,9.0,31.3302327,74.389186,'primary school'
7431,M Ahmad auto,5.0,1.0,31.4193125,74.3639375,'bicycle store'
7432,Z.M HOME,5.0,1.0,31.5142762,74.350987,'furniture store'
7433,Rite Aid Pharmacy,3.6,10.0,31.5425782,74.35984,'pharmacy'
7434,Curex pharmacy,4.9,9.0,31.5387453,74.3523359,'pharmacy'
7435,Akbari Grocery store,5.0,5.0,31.5386625,74.271964,'supermarket'
7436,Doctors Hospital & Medical Center,3.0,634.0,31.4796509,74.2803693,'hospital'
7437,Pakistan super store,5.0,2.0,31.2482171,74.2155755,'supermarket'
7438,ABYAN MINI MARKET,4.8,6.0,31.317415,74.388041,'supermarket'
7439,Daisy flower,,,31.4651399,74.1029538,'florist'
7440,Bilal business,,,31.6016744,74.3237151,'rv park'
7441,R360 Production,4.0,2.0,31.4641596,74.2837768,'movie theater'
7442,The Punjab School Girls Campus Jubilee Town,5.0,1.0,31.4068318,74.1887003,'secondary school'
7443,Malik Jahez Center,5.0,5.0,31.3696104,74.3661567,'furniture store'
7444,University of South Asia,4.1,227.0,31.4249096,74.2311269,'university'
7445,The Bakery Tower,4.5,4.0,31.4288913,74.2815734,'bakery'
7446,Depilex Beauty Clinic (WT),4.0,452.0,31.432819,74.2656406,'beauty salon'
7447,MJ,,,31.4374341,74.2399729,'bicycle store'
7448,Shalimar Pharmacy,4.7,10.0,31.5754623,74.3814496,'pharmacy'
7449,Graveyard Theme Park View,5.0,1.0,31.4189751,74.1472864,'cemetery'
7450,Hascol Petrol station ( Gujrat fillings ),4.4,30.0,31.52418,74.2820369,'gas station'
7451,Al Fazal Resturant,3.9,427.0,31.4218657,74.3594313,'restaurant'
7452,Mazaya dry cleaners & Laundry,5.0,2.0,31.5940823,74.4531637,'laundry'
7453,FS Studio,,,31.4622717,74.2720813,'storage'
7454,Sabri Store,5.0,1.0,31.4307487,74.3656053,'supermarket'
7455,American Retails,,,31.5011911,74.2675189,'storage'
7456,Qadri General Store,5.0,1.0,31.5893125,74.4241875,'home goods store'
7457,Star Mart,4.7,9.0,31.4710245,74.3407492,'supermarket'
7458,ALI GENERAL STORE,5.0,4.0,31.4357525,74.3615784,'supermarket'
7459,Nazir Cycle Works,,,31.5027963,74.3192037,'bicycle store'
7460,Native International School,5.0,1.0,31.3582862,74.2354641,'secondary school'
7461,Rahbar Pharmacy,4.6,19.0,31.3636526,74.2345478,'pharmacy'
7462,Caring Claws Veterinary Clinic,4.9,30.0,31.3649833,74.1835467,'veterinary care'
7463,Optimus Prime Takeaway,4.8,18.0,31.4455146,74.4137964,'meal delivery'
7464,Muhammad Nadeem CH Advocate High Court,5.0,8.0,31.5655677,74.3268814,'lawyer'
7465,Cinepax,4.4,3738.0,31.4713324,74.3560417,'movie theater'
7466,Total Car Wash And Petrol Pump,4.3,201.0,31.4589772,74.2820885,'gas station'
7467,Atlas Insurance Ltd - Main Boulevard,5.0,2.0,31.5137176,74.3441301,'insurance agency'
7468,Jimmy Lock & Key House,4.3,8.0,30.9227039,75.8535837,'locksmith'
7469,Alna Jewelry,3.0,2.0,31.4495588,74.2673293,'jewelry store'
7470,Al-Nasir Dental Clinic,3.3,3.0,31.2989691,74.0694505,'dentist'
7471,Marrakech SB,4.1,337.0,31.5208892,74.3396682,'spa'
7472,Ahmed Sanitary store,5.0,1.0,31.6302939,73.9994649,'home goods store'
7473,REDC Parking,,,31.4696108,74.4125934,'parking'
7474,The Standard Educational School system Lahore,5.0,1.0,31.4545368,74.3479022,'secondary school'
7475,Ali Park,4.0,82.0,31.4572119,74.3016739,'park'
7476,Golra Electric And Centry Store,,,31.6223698,74.2404114,'electronics store'
7477,HB supermarket,4.1,38.0,31.3216993,74.2220016,'supermarket'
7478,Firdousia Graveyard,4.8,54.0,31.4018087,74.359847,'cemetery'
7479,Go Company Operated Gas Station (Petrol Pump),4.3,47.0,31.5493701,74.3128345,'gas station'
7480,Azeem Law Associates,3.5,8.0,31.4445791,74.2782127,'lawyer'
7481,Eleven Pharmacy,4.6,10.0,31.5218259,74.3787795,'pharmacy'
7482,Rafiq And Sons Furniture Show Room,,,31.4428397,74.053328,'furniture store'
7483,Shama Hospital,3.9,7.0,31.5880792,74.3052416,'hospital'
7484,ضیاء الامت لائبریری,,,31.599523,74.3168619,'library'
7485,Hiranagar Fire Station,4.7,3.0,32.4530877,75.2688146,'fire station'
7486,Local Govt & Rural Department,3.8,4.0,31.4861697,74.3083477,'local government office'
7487,Al Mansoor Sons Real Estate & Builders,4.0,10.0,31.422447,74.3651371,'real estate agency'
7488,Students Islamia Girls Higher Secondary School,5.0,2.0,31.4949988,74.3923904,'secondary school'
7489,Secretariat Punjab Sports Board,3.0,1.0,31.50943,74.3347,'local government office'
7490,Kashmir Bakery,4.2,95.0,31.5569885,74.2820614,'bakery'
7491,Mian rent a car,,,31.3522709,74.2352915,'car rental'
7492,Transformers Gym & Fitness Centre,4.5,84.0,31.4586412,74.2757401,'gym'
7493,Total Gas Station,4.3,149.0,31.4634324,74.3053477,'gas station'
7494,Bahria Country Club Parking,4.5,34.0,31.3704399,74.1880134,'parking'
7495,Maysoon,5.0,8.0,31.5314655,74.3673536,'clothing store'
7496,Now Group,,,31.3746954,74.1950076,'car dealer'
7497,Home Elegance,,,31.46931,74.27127,'home goods store'
7498,Mehmood Medical Store ( S Mehmood Pharmacy ),5.0,1.0,31.352856,74.1271828,'pharmacy'
7499,Burt Hall (Nach Ghar),4.2,170.0,31.5687227,74.3429861,'city hall'
7500,Hafiz plywood and hardware store mohlanwal road lahore,5.0,1.0,31.4013478,74.1637563,'home goods store'
7501,AT Electronics اے-ٹی الیکٹرانکس,3.2,22.0,31.582663,74.3811874,'electronics store'
7502,Fragaro,5.0,6.0,31.4817367,74.293966,'liquor store'
7503,Dura Home,,,31.4333803,74.181768,'furniture store'
7504,A & N's Accounting Services,,,31.4712681,74.4338267,'accounting'
7505,BAHAR Photo Studio Center,5.0,3.0,31.7058952,74.1828227,'movie theater'
7506,Ashir tent service,4.3,3.0,31.367845,73.4082383,'campground'
7507,Al-Zahoor Restaurant,3.9,170.0,31.4380609,74.4704452,'restaurant'
7508,Map Hall,3.0,2.0,31.4015562,74.1633644,'electronics store'
7509,Pakistan Atta Chakki,5.0,6.0,31.5785954,74.0532388,'home goods store'
7510,Zaji Dry Cleaners & Steam Laundry,,,31.4817576,74.362528,'laundry'
7511,Soneri Bank,3.8,4.0,31.5441364,74.4211296,'bank'
7512,Revive Beauty Salon & Institute,4.1,70.0,31.3857543,74.1959328,'beauty salon'
7513,G&B Accessories,4.2,10.0,31.5462371,74.3753291,'jewelry store'
7514,Haji Mursleen store,5.0,1.0,31.3837755,74.1483068,'supermarket'
7515,Papu Pan Shop,4.3,19.0,31.4823724,74.3943876,'zoo'
7516,Borjan Shoes,3.8,24.0,31.4672333,74.2665086,'shoe store'
7517,Pharmacy & Famous store,4.5,4.0,31.4788282,74.3594805,'store'
7518,Al Madina Hardware and Sanitory Store,4.2,5.0,31.3851688,74.3638141,'hardware store'
7519,Lahore Real Estate -LDA City Lahore,5.0,16.0,31.3595255,74.3673013,'real estate agency'
7520,Sajjad Hussain Cold Store,,,31.524178,74.358995,'storage'
7521,UClick.PK,5.0,1.0,31.4632117,74.3017064,'jewelry store'
7522,LMDC Parking,4.3,6.0,31.5818669,74.4634531,'parking'
7523,Lahore College for Women University,4.4,1214.0,31.5436644,74.3270078,'university'
7524,Rainbow Super Market,4.3,3.0,31.4815818,74.3073714,'supermarket'
7525,Al Multazam Travels (Pvt) Ltd.,4.8,34.0,31.586932,74.3383861,'travel agency'
7526,Chaudhry Mini Mart,4.7,3.0,31.4319382,74.3474948,'department store'
7527,NAWAL HOSEIRY ( Sheikh Mudasir),,,31.4338598,74.3530212,'storage'
7528,Mahla niwas,,,31.3038039,74.613691,'zoo'
7529,The Smart School Nishter Campus Lahore,3.0,2.0,31.419004,74.3617594,'school'
7530,Al-Flah Construction & Engineering Services,5.0,3.0,31.5904492,74.4663195,'roofing contractor'
7531,The one school,1.0,1.0,31.2375898,74.2052796,'school'
7532,Huzaifa Rent A Car,5.0,1.0,31.3695016,74.1766479,'car rental'
7533,New Madina Jewellery House,4.2,5.0,31.5648167,74.2963646,'jewelry store'
7534,JS Bank ATM,,,31.4797934,74.2804148,'atm'
